Year,TSU,EQ,Name,Elevation,Type,Status,Time,VEI,Agent,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,Latitude,Longitude,Country
Jan 2010,,,Tungurahua,5023,Stratovolcano,Historical,D1,3,,,,,,,,,1,,,,,,,,,,1,,,-1.467,-78.442,Ecuador
Mar 2010,,,Eyjafjallajokull,1666,Stratovolcano,Historical,D1,2,,2,1,,,,,,,,,2,1,,,,,,,,,63.63,-19.62,Iceland
May 2010,,,Pacaya,2552,Complex volcano,Historical,D1,1,T,1,1,3,1,,,,1,3,1,1,1,3,1,,,,1,3,1,14.381,-90.601,Guatemala
May 2010,TSU,EQ,Sarigan,538,Stratovolcano,Holocene,U,,,,,,,,,,,,,,,,,,,,,,,16.708,145.78,United States
Aug 2010,,,Karangetang [Api Siau],1784,Stratovolcano,Historical,D1,3,,4,1,,,5,1,,,,1,4,1,,,5,1,,,,1,2.78,125.48,Indonesia
Aug 2010,,,Sinabung,2460,Stratovolcano,Holocene,U,,,2,1,,,,,,,,,2,1,,,,,,,,,3.17,98.392,Indonesia
Oct 2010,,,Merapi,2947,Stratovolcano,Historical,D1,,,367,3,,,277,3,600,4,,3,367,3,,,277,3,600,4,,3,-7.542,110.442,Indonesia
Nov 2010,,,Tungurahua,5023,Stratovolcano,Historical,D1,3,,,,,,,,,1,,,,,,,,,,1,,,-1.467,-78.442,Ecuador
Dec 2010,,,Tengger Caldera,2329,Stratovolcano,Historical,D1,,,,,,,,,,1,,,,,,,,,,,,,-7.942,112.95,Indonesia
Jan 2011,,,Merapi,2947,Stratovolcano,Historical,D1,,M,1,1,,,1,1,,1,,,1,1,,,1,1,,1,,,-7.542,110.442,Indonesia
Jan 2011,,,Kirishima,1700,Shield volcano,Historical,D1,,,,,,,,1,,1,,,,,,,,1,,1,,,31.93,130.87,Japan
Feb 2011,,,Bulusan,1565,Stratovolcano,Historical,D1,2,,1,1,,,,,,,,,1,1,,,,,,,,,12.77,124.05,Philippines
Mar 2011,,,Karangetang [Api Siau],1784,Stratovolcano,Historical,D1,,,,,,,,,,1,,,,,,,,,,1,,,2.78,125.48,Indonesia
Apr 2011,,,Tungurahua,5023,Stratovolcano,Historical,D1,4,,,,,,,,,1,,,,,,,,,,1,,,-1.467,-78.442,Ecuador
Jun 2011,,,Puyehue,2236,Stratovolcano,Holocene,U,4,,,,,,,,,2,,,,,,,,,,2,,,-40.59,-72.117,Chile
Jun 2011,,,Nabro,2218,Stratovolcano,Holocene,Unknown,3,,31,1,,,,3,,1,,,31,1,,,,3,,1,,,13.37,41.7,Eritrea
Jul 2011,,,Katla,1512,Subglacial volcano,Historical,D2,,,,,,,,,,1,,,,,,,,,,1,,,63.63,-19.05,Iceland
